order_month,monthly_revenue
2016-10,46566.71
2016-12,19.62
2017-01,127545.67
2017-02,271298.65
2017-03,414369.39
2017-04,390952.18
2017-05,566872.73
2017-06,490225.60
2017-07,566403.93
2017-08,646000.61
2017-09,701169.99
2017-10,751140.27
2017-11,1153393.22
2017-12,843199.17
2018-01,1078606.86
2018-02,966510.88
2018-03,1120678.00
2018-04,1132933.95
2018-05,1128836.69
2018-06,1011561.35
2018-07,1027383.10
2018-08,985414.28
